55,39,Green Line B,#00FF00,Green Line B
56,55,Green Line B,#00FF00,Green Line B
57,56,Green Line B,#00FF00,Green Line B
58,57,Green Line B,#00FF00,Green Line B
59,58,Green Line B,#00FF00,Green Line B
60,59,Green Line B,#00FF00,Green Line B
61,60,Green Line B,#00FF00,Green Line B
62,61,Green Line B,#00FF00,Green Line B
63,62,Green Line B,#00FF00,Green Line B
64,63,Green Line B,#00FF00,Green Line B
65,64,Green Line B,#00FF00,Green Line B
66,65,Green Line B,#00FF00,Green Line B
67,66,Green Line B,#00FF00,Green Line B
68,67,Green Line B,#00FF00,Green Line B
69,68,Green Line B,#00FF00,Green Line B
70,69,Green Line B,#00FF00,Green Line B
71,70,Green Line B,#00FF00,Green Line B
72,71,Green Line B,#00FF00,Green Line B
73,72,Green Line B,#00FF00,Green Line B
74,73,Green Line B,#00FF00,Green Line B
75,74,Green Line B,#00FF00,Green Line B
76,75,Green Line B,#00FF00,Green Line B
77,76,Green Line B,#00FF00,Green Line B
76,77,Green Line B,#00FF00,Green Line B
75,76,Green Line B,#00FF00,Green Line B
74,75,Green Line B,#00FF00,Green Line B
73,74,Green Line B,#00FF00,Green Line B
72,73,Green Line B,#00FF00,Green Line B
71,72,Green Line B,#00FF00,Green Line B
70,71,Green Line B,#00FF00,Green Line B
69,70,Green Line B,#00FF00,Green Line B
68,69,Green Line B,#00FF00,Green Line B
67,68,Green Line B,#00FF00,Green Line B
66,67,Green Line B,#00FF00,Green Line B
65,66,Green Line B,#00FF00,Green Line B
64,65,Green Line B,#00FF00,Green Line B
63,64,Green Line B,#00FF00,Green Line B
62,63,Green Line B,#00FF00,Green Line B
61,62,Green Line B,#00FF00,Green Line B
60,61,Green Line B,#00FF00,Green Line B
59,60,Green Line B,#00FF00,Green Line B
58,59,Green Line B,#00FF00,Green Line B
57,58,Green Line B,#00FF00,Green Line B
56,57,Green Line B,#00FF00,Green Line B
55,56,Green Line B,#00FF00,Green Line B
39,55,Green Line B,#00FF00,Green Line B
20,19,Green Line C,#00FF00,Green Line C
11,20,Green Line C,#00FF00,Green Line C
39,11,Green Line C,#00FF00,Green Line C
55,39,Green Line C,#00FF00,Green Line C
56,55,Green Line C,#00FF00,Green Line C
57,56,Green Line C,#00FF00,Green Line C
58,57,Green Line C,#00FF00,Green Line C
59,58,Green Line C,#00FF00,Green Line C
78,59,Green Line C,#00FF00,Green Line C
79,78,Green Line C,#00FF00,Green Line C
80,79,Green Line C,#00FF00,Green Line C
64,80,Green Line C,#00FF00,Green Line C
81,64,Green Line C,#00FF00,Green Line C
82,81,Green Line C,#00FF00,Green Line C
83,82,Green Line C,#00FF00,Green Line C
84,83,Green Line C,#00FF00,Green Line C
85,84,Green Line C,#00FF00,Green Line C
86,85,Green Line C,#00FF00,Green Line C
87,86,Green Line C,#00FF00,Green Line C
88,87,Green Line C,#00FF00,Green Line C
89,88,Green Line C,#00FF00,Green Line C
88,89,Green Line C,#00FF00,Green Line C
87,88,Green Line C,#00FF00,Green Line C
86,87,Green Line C,#00FF00,Green Line C
85,86,Green Line C,#00FF00,Green Line C
84,85,Green Line C,#00FF00,Green Line C
83,84,Green Line C,#00FF00,Green Line C
82,83,Green Line C,#00FF00,Green Line C
81,82,Green Line C,#00FF00,Green Line C
